Habitat Description	Good	Fairly Good	Moderate	Fairly Poor	Poor	N/A -Agricultural	N/A - Other
Cropland - Arable field margins cultivated annually	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible
Cropland - Arable field margins game bird mix	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible
Cropland - Arable field margins pollen & nectar	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible
Cropland - Arable field margins tussocky	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible
Cropland - Cereal crops	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible
Cropland - Cereal crops other	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible
Cropland - Cereal crops winter stubble	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible
Cropland - Horticulture	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible
Cropland - Intensive orchards	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible
Cropland - Non-cereal crops	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible
Cropland - Temporary grass and clover leys	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible
Grassland - Traditional orchards	30	25	20	10	5	Not Possible	Not Possible
Grassland - Bracken	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible	Not Possible
Grassland - Floodplain Wetland Mosaic (CFGM)	20	15	10	8	5	Not Possible	Not Possible
Grassland - Lowland calcareous grassland	20	15	10	8	5	Not Possible	Not Possible
Grassland - Lowland dry acid grassland	30+	25	20	15	10	Not Possible	Not Possible
Grassland - Lowland meadows	15	12	10	8	5	Not Possible	Not Possible
Grassland - Modified grassland	7	5	4	2	1	1	Not Possible
Grassland - Other lowland acid grassland	15	12	10	5	1	Not Possible	Not Possible
Grassland - Other neutral grassland	10	7	5	3	2	Not Possible	Not Possible
Grassland - Tall herb communities	30	25	20	15	10	Not Possible	Not Possible
Grassland - Upland acid grassland	15	12	10	5	1	Not Possible	Not Possible
Grassland - Upland calcareous grassland	25	20	15	12	10	Not Possible	Not Possible
Grassland - Upland hay meadows	20	18	15	12	10	Not Possible	Not Possible
Heathland and shrub - Blackthorn scrub	10	7	5	3	1	Not Possible	Not Possible
Heathland and shrub - Bramble scrub	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible	Not Possible
Heathland and shrub - Gorse scrub	10	7	5	3	1	Not Possible	Not Possible
Heathland and shrub - Hawthorn scrub	10	7	5	3	1	Not Possible	Not Possible
Heathland and shrub - Hazel scrub	15	12	10	7	5	Not Possible	Not Possible
Heathland and shrub - Lowland Heathland	30+	25	20	15	10	Not Possible	Not Possible
Heathland and shrub - Mixed scrub	10	7	5	3	1	Not Possible	Not Possible
Heathland and shrub - Mountain heaths and willow scrub	30+	30+	25	23	15	Not Possible	Not Possible
Heathland and shrub - Rhododendron scrub	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible	Not Possible
Heathland and shrub - Sea buckthorn scrub (Annex 1)	10	7	5	3	1	Not Possible	Not Possible
Heathland and shrub - Sea buckthorn scrub (other)	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible	Not Possible
Heathland and shrub - Upland Heathland	30	25	20	15	10	Not Possible	Not Possible
Lakes - Aquifer fed naturally fluctuating water bodies	30	20	15	10	1	Not Possible	Not Possible
Lakes - High alkalinity lakes	30	20	10	7	5	Not Possible	Not Possible
Lakes - Low alkalinity lakes	30	20	10	7	5	Not Possible	Not Possible
Lakes - Marl Lakes	30	20	10	7	5	Not Possible	Not Possible
Lakes - Moderate alkalinity lakes	30	20	10	7	5	Not Possible	Not Possible
Lakes - Peat Lakes	30	20	10	7	5	Not Possible	Not Possible
Lakes - Ponds (Priority Habitat)	5	4	3	2	1	Not Possible	Not Possible
Lakes - Ponds (Non- Priority Habitat)	5	4	3	2	1	Not Possible	Not Possible
Lakes - Reservoirs	10	7	5	3	1	Not Possible	Not Possible
Lakes - Temporary lakes, ponds and pools	5	4	3	2	1	Not Possible	Not Possible
Sparsely vegetated land - Calaminarian grasslands	10	7	5	3	2	Not Possible	Not Possible
Sparsely vegetated land - Coastal sand dunes	20	15	10	7	5	Not Possible	Not Possible
Sparsely vegetated land - Coastal vegetated shingle	20	15	10	7	5	Not Possible	Not Possible
Sparsely vegetated land - Ruderal/Ephemeral	5	4	3	2	1	Not Possible	Not Possible
Sparsely vegetated land - Inland rock outcrop and scree habitats	30+	25	20	15	10	Not Possible	Not Possible
Sparsely vegetated land - Limestone pavement	30+	30+	30+	30+	30+	Not Possible	Not Possible
Sparsely vegetated land - Maritime cliff and slopes	20	15	10	7	5	Not Possible	Not Possible
Sparsely vegetated land - Other inland rock and scree	20	15	10	7	5	Not Possible	Not Possible
Urban - Allotments	1	1	1	1	1	Not Possible	Not Possible
Lakes - Ornamental lake or pond	5	4	3	2	1	Not Possible	Not Possible
Urban - Artificial unvegetated, unsealed surface	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	0
Urban - Bioswale	3	2	1	1	1	Not Possible	Not Possible
Urban - Brown roof	10	7	5	3	1	Not Possible	Not Possible
Urban - Built linear features	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	0
Urban - Cemeteries and churchyards	20	17	15	12	10	Not Possible	Not Possible
Urban - Developed land; sealed surface	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	0
Urban - Extensive green roof	5	4	3	2	1	Not Possible	Not Possible
Urban - Facade-bound green wall	5	4	3	2	1	Not Possible	Not Possible
Urban - Ground based green wall	5	4	3	2	1	Not Possible	Not Possible
Urban - Ground level planters	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible	Not Possible
Urban - Intensive green roof	10	8	5	3	1	Not Possible	Not Possible
Urban - Introduced shrub	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible	Not Possible
Urban - Open Mosaic Habitats on Previously Developed Land	10	7	4	2	0	Not Possible	Not Possible
Urban - Rain garden	5	4	3	2	1	Not Possible	Not Possible
Urban - Sand pit quarry or open cast mine	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible	Not Possible
Urban - Urban Tree	30+	30+	27	15	10	Not Possible	Not Possible
Urban - Sustainable urban drainage feature	5	4	3	2	1	Not Possible	Not Possible
Urban - Un-vegetated garden	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	0
Urban - Vacant/derelict land/ bareground	5	4	3	2	1	Not Possible	Not Possible
Urban - Vegetated garden	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible	Not Possible
Wetland - Blanket bog	30+	30+	30+	30+	30+	Not Possible	Not Possible
Wetland - Depressions on Peat substrates (H7150)	30+	30+	30	25	15	Not Possible	Not Possible
Wetland - Fens (upland and lowland)	30	25	20	15	10	Not Possible	Not Possible
Wetland - Lowland raised bog	30+	30+	30	20	15	Not Possible	Not Possible
Wetland - Oceanic Valley Mire[1] (D2.1)	30+	30+	30	20	15	Not Possible	Not Possible
Wetland - Purple moor grass and rush pastures	30	25	20	15	10	Not Possible	Not Possible
Wetland - Reedbeds	12	10	7	5	3	Not Possible	Not Possible
Wetland - Transition mires and quaking bogs (H7140)	30+	30+	30	25	15	Not Possible	Not Possible
Woodland and forest - Felled	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Woodland and forest - Lowland beech and yew woodland	30+	30+	30+	25	10	Not Possible	Not Possible
Woodland and forest - Lowland mixed deciduous woodland	30+	30+	30+	25	10	Not Possible	Not Possible
Woodland and forest - Native pine woodlands	30+	30+	30+	25	10	Not Possible	Not Possible
Woodland and forest - Other coniferous woodland	30+	30+	30	10	5	Not Possible	Not Possible
Woodland and forest - Other Scot's Pine woodland	30+	30+	30+	25	10	Not Possible	Not Possible
Woodland and forest - Other woodland; broadleaved	30+	20	15	7	5	Not Possible	Not Possible
Woodland and forest - Other woodland; mixed	30+	30+	30	10	5	Not Possible	Not Possible
Woodland and forest - Upland birchwoods	30+	30	25	20	10	Not Possible	Not Possible
Woodland and forest - Upland mixed ashwoods	30+	30+	30+	25	10	Not Possible	Not Possible
Woodland and forest - Upland oakwood	30+	30+	30+	25	10	Not Possible	Not Possible
Woodland and forest - Wet woodland	30+	30	15	10	5	Not Possible	Not Possible
Woodland and forest - Wood-pasture and parkland	30+	30+	30+	25	10	Not Possible	Not Possible
Coastal lagoons - Coastal lagoons	10	8	5	3	1	Not Possible	Not Possible
Rocky shore - High energy littoral rock	10	7	4	2	1	Not Possible	Not Possible
Rocky shore - High energy littoral rock - on peat, clay or chalk	30+	30+	30+	30+	30+	Not Possible	Not Possible
Rocky shore - Moderate energy littoral rock	13	8	4	2	1	Not Possible	Not Possible
Rocky shore - Moderate energy littoral rock - on peat, clay or chalk	30+	30+	30+	30+	30+	Not Possible	Not Possible
Rocky shore - Low energy littoral rock	15	10	5	1	1	Not Possible	Not Possible
Rocky shore - Low energy littoral rock - on peat, clay or chalk	30+	30+	30+	30+	30+	Not Possible	Not Possible
Rocky shore - Features of littoral rock	13	8	4	2	1	Not Possible	Not Possible
Rocky shore - Features of littoral rock - on peat, clay or chalk	30+	30+	30+	30+	30+	Not Possible	Not Possible
Intertidal sediment - Littoral coarse sediment	3	2	1	1	1	Not Possible	Not Possible
Intertidal sediment - Littoral mud	6	4	3	2	1	Not Possible	Not Possible
Intertidal sediment - Littoral mixed sediments	5	4	3	2	1	Not Possible	Not Possible
Coastal saltmarsh - Saltmarshes and saline reedbeds	15	10	7	3	1	Not Possible	Not Possible
Coastal saltmarsh - Artificial saltmarshes and saline reedbeds	15	10	7	3	1	Not Possible	Not Possible
Intertidal sediment - Littoral seagrass	20	15	10	5	2	Not Possible	Not Possible
Intertidal sediment - Littoral seagrass on peat, clay or chalk	30+	30+	30+	30+	30+	Not Possible	Not Possible
Intertidal sediment - Littoral biogenic reefs - Mussels	15	10	5	3	3	Not Possible	Not Possible
Intertidal sediment - Littoral biogenic reefs - Sabellaria	15	10	5	3	3	Not Possible	Not Possible
Intertidal sediment - Features of littoral sediment	10	7	5	3	3	Not Possible	Not Possible
Intertidal sediment - Artificial littoral coarse sediment	3	2	1	1	1	Not Possible	Not Possible
Intertidal sediment - Artificial littoral mud	6	4	3	2	1	Not Possible	Not Possible
Intertidal sediment - Artificial littoral sand	4	2	1	1	1	Not Possible	Not Possible
Intertidal sediment - Artificial littoral muddy sand	5	4	3	2	1	Not Possible	Not Possible
Intertidal sediment - Artificial littoral mixed sediments	5	4	3	2	1	Not Possible	Not Possible
Intertidal sediment - Artificial littoral seagrass	20	15	10	5	2	Not Possible	Not Possible
Intertidal sediment - Artificial littoral biogenic reefs	15	10	5	3	3	Not Possible	Not Possible
Intertidal sediment - Littoral sand	4	2	1	1	1	Not Possible	Not Possible
Intertidal sediment - Littoral muddy sand	5	4	3	2	1	Not Possible	Not Possible
Intertidal Hard Structures - Artificial hard structures	15	10	5	2	1	Not Possible	Not Possible
Intertidal Hard Structures - Artificial features of hard structures	13	8	4	2	1	Not Possible	Not Possible
Intertidal Hard Structures - Artificial hard structures with Integrated Greening of Grey Infrastructure (IGGI)	13	8	4	2	1	Not Possible	Not Possible