Habitat Description	Distinctiveness
Coastal lagoons - Coastal lagoons	High
Coastal saltmarsh - Artificial saltmarshes and saline reedbeds	Low
Coastal saltmarsh - Saltmarshes and saline reedbeds	High
Cropland - Cereal crops	Low
Cropland - Cereal crops other	Low
Cropland - Horticulture	Low
Cropland - Intensive orchards	Low
Cropland - Non-cereal crops	Low
Cropland - Temporary grass and clover leys	Low
Cropland - Arable field margins cultivated annually	Medium
Cropland - Arable field margins game bird mix	Medium
Cropland - Arable field margins pollen & nectar	Medium
Cropland - Arable field margins tussocky	Medium
Cropland - Cereal crops winter stubble	Medium
Grassland - Bracken	Low
Grassland - Modified grassland	Low
Grassland - Other lowland acid grassland	Medium
Grassland - Other neutral grassland	Medium
Grassland - Upland acid grassland	Medium
Grassland - Floodplain Wetland Mosaic (CFGM)	High
Grassland - Lowland calcareous grassland	High
Grassland - Tall herb communities	High
Grassland - Traditional orchards	High
Grassland - Upland calcareous grassland	High
Grassland - Lowland dry acid grassland	V.High
Grassland - Lowland meadows	V.High
Grassland - Upland hay meadows	V.High
Heathland and shrub - Rhododendron scrub	Low
Heathland and shrub - Sea buckthorn scrub (other)	Low
Heathland and shrub - Blackthorn scrub	Medium
Heathland and shrub - Bramble scrub	Medium
Heathland and shrub - Gorse scrub	Medium
Heathland and shrub - Hawthorn scrub	Medium
Heathland and shrub - Hazel scrub	Medium
Heathland and shrub - Mixed scrub	Medium
Heathland and shrub - Lowland Heathland	High
Heathland and shrub - Sea buckthorn scrub (Annex 1)	High
Heathland and shrub - Upland Heathland	High
Heathland and shrub - Mountain heaths and willow scrub	V.High
Intertidal Hard Structures - Artificial features of hard structures	Low
Intertidal Hard Structures - Artificial hard structures	Low
Intertidal Hard Structures - Artificial hard structures with Integrated Greening of Grey Infrastructure (IGGI)	Medium
Intertidal sediment - Artificial littoral biogenic reefs	Low
Intertidal sediment - Artificial littoral coarse sediment	Low
Intertidal sediment - Artificial littoral mixed sediments	Low
Intertidal sediment - Artificial littoral mud	Low
Intertidal sediment - Artificial littoral muddy sand	Low
Intertidal sediment - Artificial littoral sand	Low
Intertidal sediment - Artificial littoral seagrass	Low
Intertidal sediment - Littoral coarse sediment	Medium
Intertidal sediment - Littoral sand	Medium
Intertidal sediment - Features of littoral sediment	High
Intertidal sediment - Littoral biogenic reefs - Mussels	High
Intertidal sediment - Littoral biogenic reefs - Sabellaria	High
Intertidal sediment - Littoral mixed sediments	High
Intertidal sediment - Littoral mud	High
Intertidal sediment - Littoral muddy sand	High
Intertidal sediment - Littoral seagrass	High
Intertidal sediment - Littoral seagrass on peat, clay or chalk	V.High
Lakes - Ornamental lake or pond	Low
Lakes - Ponds (Non- Priority Habitat)	Medium
Lakes - Reservoirs	Medium
Lakes - High alkalinity lakes	High
Lakes - Low alkalinity lakes	High
Lakes - Marl Lakes	High
Lakes - Moderate alkalinity lakes	High
Lakes - Peat Lakes	High
Lakes - Ponds (Priority Habitat)	High
Lakes - Temporary lakes, ponds and pools	High
Lakes - Aquifer fed naturally fluctuating water bodies	V.High
Rocky shore - Features of littoral rock	High
Rocky shore - High energy littoral rock	High
Rocky shore - Low energy littoral rock	High
Rocky shore - Moderate energy littoral rock	High
Rocky shore - Features of littoral rock - on peat, clay or chalk	V.High
Rocky shore - High energy littoral rock - on peat, clay or chalk	V.High
Rocky shore - Low energy littoral rock - on peat, clay or chalk	V.High
Rocky shore - Moderate energy littoral rock - on peat, clay or chalk	V.High
Sparsely vegetated land - Ruderal/Ephemeral	Low
Sparsely vegetated land - Other inland rock and scree	Medium
Sparsely vegetated land - Coastal sand dunes	High
Sparsely vegetated land - Coastal vegetated shingle	High
Sparsely vegetated land - Inland rock outcrop and scree habitats	High
Sparsely vegetated land - Maritime cliff and slopes	High
Sparsely vegetated land - Calaminarian grasslands	V.High
Sparsely vegetated land - Limestone pavement	V.High
Urban - Allotments	Low
Urban - Bioswale	Low
Urban - Extensive green roof	Low
Urban - Facade-bound green wall	Low
Urban - Ground based green wall	Low
Urban - Ground level planters	Low
Urban - Introduced shrub	Low
Urban - Rain garden	Low
Urban - Sand pit quarry or open cast mine	Low
Urban - Sustainable urban drainage feature	Low
Urban - Vacant/derelict land/ bareground	Low
Urban - Vegetated garden	Low
Urban - Artificial unvegetated, unsealed surface	V.Low
Urban - Built linear features	V.Low
Urban - Developed land; sealed surface	V.Low
Urban - Un-vegetated garden	V.Low
Urban - Brown roof	Medium
Urban - Cemeteries and churchyards	Medium
Urban - Intensive green roof	Medium
Urban - Urban Tree	Medium
Urban - Open Mosaic Habitats on Previously Developed Land	High
Wetland - Reedbeds	High
Wetland - Blanket bog	V.High
Wetland - Depressions on Peat substrates (H7150)	V.High
Wetland - Fens (upland and lowland)	V.High
Wetland - Lowland raised bog	V.High
Wetland - Oceanic Valley Mire[1] (D2.1)	V.High
Wetland - Purple moor grass and rush pastures	V.High
Wetland - Transition mires and quaking bogs (H7140)	V.High
Woodland and forest - Other coniferous woodland	Low
Woodland and forest - Other Scot's Pine woodland	Medium
Woodland and forest - Other woodland; broadleaved	Medium
Woodland and forest - Other woodland; mixed	Medium
Woodland and forest - Felled	High
Woodland and forest - Lowland beech and yew woodland	High
Woodland and forest - Lowland mixed deciduous woodland	High
Woodland and forest - Native pine woodlands	High
Woodland and forest - Upland birchwoods	High
Woodland and forest - Upland mixed ashwoods	High
Woodland and forest - Upland oakwood	High
Woodland and forest - Wet woodland	High
Woodland and forest - Wood-pasture and parkland	V.High