Habitat Description	Lower Distinctiveness Habitat - N/A - Other	Lower Distinctiveness Habitat - N/A -Agricultural	Lower Distinctiveness Habitat - Poor	Lower Distinctiveness Habitat - Fairly Poor	Lower Distinctiveness Habitat - Moderate	Lower Distinctiveness Habitat - Fairly Good	Lower Distinctiveness Habitat - Good	Poor - Fairly Poor	Poor - Moderate	Poor - Fairly Good	Poor - Good	Fairly Poor - Moderate	Fairly Poor - Fairly Good	Fairly Poor - Good	Moderate - Fairly Good	Moderate - Good	Fairly Good - Good	Good - Good
Cropland - Arable field margins cultivated annually	Not Possible	1	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Cropland - Arable field margins game bird mix	Not Possible	1	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Cropland - Arable field margins pollen & nectar	Not Possible	1	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Cropland - Arable field margins tussocky	Not Possible	1	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Cropland - Cereal crops	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Cropland - Cereal crops other	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Cropland - Cereal crops winter stubble	Not Possible	1	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Cropland - Horticulture	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Cropland - Intensive orchards	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Cropland - Non-cereal crops	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Cropland - Temporary grass and clover leys	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Grassland - Traditional orchards	Not Possible	Not Possible	5	10	20	25	30	5	15	20	25	10	15	20	5	10	5	Not Possible
Grassland - Bracken	Not Possible	Not Possible	1	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Grassland - Floodplain Wetland Mosaic (CFGM)	Not Possible	Not Possible	5	8	10	12	15	8	10	12	15	2	4	7	2	4	3	Not Possible
Grassland - Lowland calcareous grassland	Not Possible	Not Possible	10	15	20	25	30	5	10	15	20	5	10	15	5	10	5	Not Possible
Grassland - Lowland dry acid grassland	Not Possible	Not Possible	10	15	20	25	30+	5	15	20	30+	8	15	25	10	20	10	Not Possible
Grassland - Lowland meadows	Not Possible	Not Possible	5	8	10	12	15	4	8	11	15	4	8	11	4	8	4	Not Possible
Grassland - Modified grassland	Not Possible	1	1	5	10	12	15	5	10	12	15	8	10	12	8	10	8	Not Possible
Grassland - Other lowland acid grassland	Not Possible	Not Possible	1	5	10	12	15	5	10	12	15	8	10	12	8	10	8	Not Possible
Grassland - Other neutral grassland	Not Possible	Not Possible	1	5	10	12	15	5	10	12	15	8	10	12	8	10	8	Not Possible
Grassland - Tall herb communities	Not Possible	Not Possible	10	15	20	25	30	10	20	25	30	10	10	15	5	10	5	Not Possible
Grassland - Upland acid grassland	Not Possible	Not Possible	1	5	10	12	15	5	10	12	15	8	10	12	8	10	8	Not Possible
Grassland - Upland calcareous grassland	Not Possible	Not Possible	10	12	15	20	25	10	15	18	20	10	15	18	10	10	10	Not Possible
Grassland - Upland hay meadows	Not Possible	Not Possible	10	12	15	18	20	10	15	18	20	10	15	18	10	15	10	Not Possible
Heathland and shrub - Blackthorn scrub	Not Possible	Not Possible	1	3	5	7	10	1	5	7	10	3	5	3	2	3	2	Not Possible
Heathland and shrub - Bramble scrub	Not Possible	Not Possible	1	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Heathland and shrub - Gorse scrub	Not Possible	Not Possible	1	3	5	7	10	1	5	7	10	3	5	7	2	3	2	Not Possible
Heathland and shrub - Hawthorn scrub	Not Possible	Not Possible	1	3	5	7	10	1	5	7	10	3	5	7	2	3	2	Not Possible
Heathland and shrub - Hazel scrub	Not Possible	Not Possible	5	7	10	12	15	5	7	12	15	5	8	12	5	7	5	Not Possible
Heathland and shrub - Lowland Heathland	Not Possible	Not Possible	10	15	20	25	30+	5	10	15	25	5	10	20	5	15	10	Not Possible
Heathland and shrub - Mixed scrub	Not Possible	Not Possible	1	3	5	7	10	1	5	7	10	3	5	7	2	3	2	Not Possible
Heathland and shrub - Mountain heaths and willow scrub	Not Possible	Not Possible	15	23	25	30+	30+	20	30+	30+	30+	20	30+	30+	20	30+	20	Not Possible
Heathland and shrub - Rhododendron scrub	Not Possible	Not Possible	1	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Heathland and shrub - Sea buckthorn scrub (Annex 1)	Not Possible	Not Possible	5	7	10	12	15	5	7	10	12	5	7	10	5	7	5	Not Possible
Heathland and shrub - Sea buckthorn scrub (other)	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Heathland and shrub - Upland Heathland	Not Possible	Not Possible	10	15	20	25	30	10	20	30	30+	10	20	30	10	20	10	Not Possible
Lakes - Aquifer fed naturally fluctuating water bodies	Not Possible	Not Possible	1	10	15	20	30	5	10	15	30	5	15	25	5	20	5	Not Possible
Lakes - High alkalinity lakes	Not Possible	Not Possible	2	3	5	7	10	5	10	15	30	5	15	25	10	20	10	Not Possible
Lakes - Low alkalinity lakes	Not Possible	Not Possible	5	10	15	20	30	5	10	15	20	5	10	15	5	10	5	Not Possible
Lakes - Marl Lakes	Not Possible	Not Possible	5	7	10	15	20	5	10	15	30	5	15	25	10	20	10	Not Possible
Lakes - Moderate alkalinity lakes	Not Possible	Not Possible	5	7	10	15	20	5	10	15	30	5	15	25	10	20	10	Not Possible
Lakes - Peat Lakes	Not Possible	Not Possible	5	10	15	20	30	5	10	15	30	5	15	25	10	20	10	Not Possible
Lakes - Ponds (Priority Habitat)	Not Possible	Not Possible	2	3	5	7	10	2	4	6	8	2	4	6	2	4	2	Not Possible
Lakes - Ponds (Non- Priority Habitat)	Not Possible	Not Possible	1	2	3	4	5	2	4	6	8	2	4	6	2	4	2	Not Possible
Lakes - Reservoirs	Not Possible	Not Possible	1	3	5	7	10	5	10	15	30	5	15	25	10	20	10	Not Possible
Lakes - Temporary lakes, ponds and pools	Not Possible	Not Possible	2	3	5	7	10	2	4	6	8	2	4	6	2	4	2	Not Possible
Sparsely vegetated land - Calaminarian grasslands	Not Possible	Not Possible	2	3	5	7	10	1	3	5	8	1	4	7	2	5	3	Not Possible
Sparsely vegetated land - Coastal sand dunes	Not Possible	Not Possible	5	7	10	15	20	5	8	15	20	5	10	18	7	12	8	Not Possible
Sparsely vegetated land - Coastal vegetated shingle	Not Possible	Not Possible	5	7	10	15	20	5	8	15	20	5	10	18	7	12	8	Not Possible
Sparsely vegetated land - Ruderal/Ephemeral	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	1	2	3	5	1	2	3	1	2	1	Not Possible
Sparsely vegetated land - Inland rock outcrop and scree habitats	Not Possible	Not Possible	10	15	20	25	30+	10	15	25	30+	20	25	27	15	20	15	Not Possible
Sparsely vegetated land - Limestone pavement	Not Possible	Not Possible	30+	30+	30+	30+	30+	5	10	15	20	5	10	15	5	10	5	Not Possible
Sparsely vegetated land - Maritime cliff and slopes	Not Possible	Not Possible	10	15	20	25	30+	5	8	15	20	5	10	18	7	12	8	Not Possible
Sparsely vegetated land - Other inland rock and scree	Not Possible	Not Possible	3	5	10	15	20	5	10	15	20	5	10	15	5	10	5	Not Possible
Urban - Allotments	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Not Possible
Lakes - Ornamental lake or pond	Not Possible	Not Possible	1	2	3	4	5	2	4	6	8	2	4	6	2	4	2	Not Possible
Urban - Artificial unvegetated, unsealed surface	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Urban - Bioswale	Not Possible	Not Possible	1	1	1	2	3	1	2	2	3	1	3	3	2	2	2	Not Possible
Urban - Brown roof	Not Possible	Not Possible	1	3	5	7	10	1	5	7	10	5	8	10	5	5	3	Not Possible
Urban - Built linear features	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Urban - Cemeteries and churchyards	Not Possible	Not Possible	10	12	15	17	20	5	10	15	20	10	15	20	10	15	5	Not Possible
Urban - Developed land; sealed surface	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Urban - Extensive green roof	Not Possible	Not Possible	1	2	3	4	5	1	2	3	5	1	2	3	1	2	1	Not Possible
Urban - Facade-bound green wall	Not Possible	Not Possible	1	2	3	4	5	1	2	3	5	1	2	3	1	2	1	Not Possible
Urban - Ground based green wall	Not Possible	Not Possible	1	2	3	4	5	1	2	3	5	1	2	3	1	2	1	Not Possible
Urban - Ground level planters	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Urban - Intensive green roof	Not Possible	Not Possible	1	3	5	8	10	3	5	8	10	3	8	8	3	5	2	Not Possible
Urban - Introduced shrub	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Urban - Open Mosaic Habitats on Previously Developed Land	Not Possible	Not Possible	0	2	4	7	10	2	4	7	10	2	5	8	3	4	3	Not Possible
Urban - Rain garden	Not Possible	Not Possible	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Not Possible
Urban - Sand pit quarry or open cast mine	Not Possible	Not Possible	1	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Urban - Urban Tree	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	8	16	24	30+	8	16	24	8	16	8	Not Possible
Urban - Sustainable urban drainage feature	Not Possible	Not Possible	1	2	3	4	5	1	2	3	5	1	2	3	1	2	1	Not Possible
Urban - Un-vegetated garden	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Urban - Vacant/derelict land/ bareground	Not Possible	Not Possible	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Not Possible
Urban - Vegetated garden	Not Possible	Not Possible	1	2	3	4	5	1	2	3	5	1	2	3	1	2	1	Not Possible
Wetland - Blanket bog	Not Possible	Not Possible	15	25	30	30+	30+	10	20	30+	30	10	30+	30+	30	30+	30	Not Possible
Wetland - Depressions on Peat substrates (H7150)	Not Possible	Not Possible	15	25	30	30+	30+	10	20	25	30	10	20	25	10	20	10	Not Possible
Wetland - Fens (upland and lowland)	Not Possible	Not Possible	10	12	15	25	30	10	12	15	18	10	12	15	10	12	10	Not Possible
Wetland - Lowland raised bog	Not Possible	Not Possible	15	20	30	30+	30+	10	20	25	30	10	20	20	10	15	10	Not Possible
Wetland - Oceanic Valley Mire[1] (D2.1)	Not Possible	Not Possible	15	20	30	30+	30+	10	20	25	30	10	20	20	10	15	10	Not Possible
Wetland - Purple moor grass and rush pastures	Not Possible	Not Possible	10	12	15	17	20	10	10	15	20	10	15	20	10	15	10	Not Possible
Wetland - Reedbeds	Not Possible	Not Possible	5	7	10	12	15	5	7	10	12	5	7	10	5	7	5	Not Possible
Wetland - Transition mires and quaking bogs (H7140)	Not Possible	Not Possible	15	25	30	30+	30+	10	20	25	30	10	20	20	10	15	10	Not Possible
Woodland and forest - Felled	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Woodland and forest - Lowland beech and yew woodland	Not Possible	Not Possible	10	25	30+	30+	30+	25	30+	30+	30+	30+	30+	30+	30+	30+	30+	Not Possible
Woodland and forest - Lowland mixed deciduous woodland	Not Possible	Not Possible	10	25	30+	30+	30+	10	20	25	30+	10	20	25	10	20	10	Not Possible
Woodland and forest - Native pine woodlands	Not Possible	Not Possible	25	30	30+	30+	30+	10	15	20	30+	15	20	25	10	15	10	Not Possible
Woodland and forest - Other coniferous woodland	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	5	25	30+	30+	20	15	25	5	7	10	Not Possible
Woodland and forest - Other Scot's Pine woodland	Not Possible	Not Possible	20	25	30+	30+	30+	10	15	20	30+	15	20	25	10	15	10	Not Possible
Woodland and forest - Other woodland; broadleaved	Not Possible	Not Possible	5	10	15	20	25	5	10	15	20	5	10	15	5	10	5	Not Possible
Woodland and forest - Other woodland; mixed	Not Possible	Not Possible	5	10	15	20	25	5	10	15	20	5	10	15	5	10	5	Not Possible
Woodland and forest - Upland birchwoods	Not Possible	Not Possible	10	20	25	30	30+	10	15	20	30+	15	20	25	10	15	10	Not Possible
Woodland and forest - Upland mixed ashwoods	Not Possible	Not Possible	10	25	30+	30+	30+	10	15	20	30+	15	20	25	10	15	10	Not Possible
Woodland and forest - Upland oakwood	Not Possible	Not Possible	10	25	30+	30+	30+	25	30+	30+	30+	30+	30+	30+	30+	30+	30+	Not Possible
Woodland and forest - Wet woodland	Not Possible	Not Possible	10	20	25	30	30+	10	10	15	30+	15	20	25	10	15	10	Not Possible
Woodland and forest - Wood-pasture and parkland	Not Possible	Not Possible	10	25	30+	30+	30+	25	30+	30+	30+	30+	30+	30+	30+	30+	30+	Not Possible
Coastal lagoons - Coastal lagoons	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	1	4	8	12	3	7	11	4	8	4	Not Possible
Rocky shore - High energy littoral rock	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	2	4	6	10	2	4	8	2	6	4	Not Possible
Rocky shore - High energy littoral rock - on peat, clay or chalk	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	2	4	6	10	2	4	8	2	6	4	Not Possible
Rocky shore - Moderate energy littoral rock	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	2	4	6	11	2	4	9	2	7	5	Not Possible
Rocky shore - Moderate energy littoral rock - on peat, clay or chalk	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	2	4	6	11	2	4	9	2	7	5	Not Possible
Rocky shore - Low energy littoral rock	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	2	4	6	12	2	4	10	2	8	6	Not Possible
Rocky shore - Low energy littoral rock - on peat, clay or chalk	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	2	4	6	12	2	4	10	2	8	6	Not Possible
Rocky shore - Features of littoral rock	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	2	4	6	11	2	4	9	2	7	5	Not Possible
Rocky shore - Features of littoral rock - on peat, clay or chalk	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	2	4	6	11	2	4	9	2	7	5	Not Possible
Intertidal sediment - Littoral coarse sediment	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	1	2	3	4	1	2	3	1	2	1	Not Possible
Intertidal sediment - Littoral mud	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	2	4	6	8	2	4	6	2	4	2	Not Possible
Intertidal sediment - Littoral mixed sediments	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	1	2	3	4	1	2	3	1	2	1	Not Possible
Coastal saltmarsh - Saltmarshes and saline reedbeds	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	2	6	10	20	4	8	18	4	14	10	Not Possible
Coastal saltmarsh - Artificial saltmarshes and saline reedbeds	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	2	6	10	20	4	8	18	4	14	10	Not Possible
Intertidal sediment - Littoral seagrass	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	3	13	23	0	10	20	30	10	20	10	Not Possible
Intertidal sediment - Littoral seagrass on peat, clay or chalk	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	2	4	7	0	2	3	8	3	6	3	Not Possible
Intertidal sediment - Littoral biogenic reefs - Mussels	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	2	4	7	10	2	3	8	3	6	3	Not Possible
Intertidal sediment - Littoral biogenic reefs - Sabellaria	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	2	4	7	10	2	3	8	3	6	3	Not Possible
Intertidal sediment - Features of littoral sediment	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	1	2	3	5	1	2	4	1	3	2	Not Possible
Intertidal sediment - Artificial littoral coarse sediment	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	1	2	3	4	1	2	3	1	2	1	Not Possible
Intertidal sediment - Artificial littoral mud	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	2	4	6	8	2	4	6	2	4	2	Not Possible
Intertidal sediment - Artificial littoral sand	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	2	3	4	6	1	2	4	1	3	2	Not Possible
Intertidal sediment - Artificial littoral muddy sand	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	2	4	6	8	2	4	6	2	4	2	Not Possible
Intertidal sediment - Artificial littoral mixed sediments	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	1	2	3	4	1	2	3	1	2	1	Not Possible
Intertidal sediment - Artificial littoral seagrass	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	3	13	23	30+	10	20	30	10	20	10	Not Possible
Intertidal sediment - Artificial littoral biogenic reefs	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	2	4	7	10	2	3	8	3	6	3	Not Possible
Intertidal sediment - Littoral sand	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	2	3	4	6	1	2	4	1	3	2	Not Possible
Intertidal sediment - Littoral muddy sand	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	2	4	6	8	2	4	6	2	4	2	Not Possible
Intertidal Hard Structures - Artificial hard structures	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	6	4	10	2	2	8	6	2	12	4	Not Possible
Intertidal Hard Structures - Artificial features of hard structures	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	5	4	9	2	2	7	6	2	11	4	Not Possible
Intertidal Hard Structures - Artificial hard structures with Integrated Greening of Grey Infrastructure (IGGI)	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	5	4	9	2	2	7	6	2	11	4	Not Possible