Habitat Description	Group
Coastal lagoons - Coastal lagoons	Coastal lagoons
Coastal saltmarsh - Artificial saltmarshes and saline reedbeds	Coastal saltmarsh
Coastal saltmarsh - Saltmarshes and saline reedbeds	Coastal saltmarsh
Cropland - Cereal crops	Cropland
Cropland - Cereal crops other	Cropland
Cropland - Horticulture	Cropland
Cropland - Intensive orchards	Cropland
Cropland - Non-cereal crops	Cropland
Cropland - Temporary grass and clover leys	Cropland
Cropland - Arable field margins cultivated annually	Cropland
Cropland - Arable field margins game bird mix	Cropland
Cropland - Arable field margins pollen & nectar	Cropland
Cropland - Arable field margins tussocky	Cropland
Cropland - Cereal crops winter stubble	Cropland
Grassland - Bracken	Grassland
Grassland - Modified grassland	Grassland
Grassland - Other lowland acid grassland	Grassland
Grassland - Other neutral grassland	Grassland
Grassland - Upland acid grassland	Grassland
Grassland - Floodplain Wetland Mosaic (CFGM)	Grassland
Grassland - Lowland calcareous grassland	Grassland
Grassland - Tall herb communities	Grassland
Grassland - Traditional orchards	Grassland
Grassland - Upland calcareous grassland	Grassland
Grassland - Lowland dry acid grassland	Grassland
Grassland - Lowland meadows	Grassland
Grassland - Upland hay meadows	Grassland
Heathland and shrub - Rhododendron scrub	Heathland and shrub
Heathland and shrub - Sea buckthorn scrub (other)	Heathland and shrub
Heathland and shrub - Blackthorn scrub	Heathland and shrub
Heathland and shrub - Bramble scrub	Heathland and shrub
Heathland and shrub - Gorse scrub	Heathland and shrub
Heathland and shrub - Hawthorn scrub	Heathland and shrub
Heathland and shrub - Hazel scrub	Heathland and shrub
Heathland and shrub - Mixed scrub	Heathland and shrub
Heathland and shrub - Lowland Heathland	Heathland and shrub
Heathland and shrub - Sea buckthorn scrub (Annex 1)	Heathland and shrub
Heathland and shrub - Upland Heathland	Heathland and shrub
Heathland and shrub - Mountain heaths and willow scrub	Heathland and shrub
Intertidal Hard Structures - Artificial features of hard structures	Intertidal Hard Structures
Intertidal Hard Structures - Artificial hard structures	Intertidal Hard Structures
Intertidal Hard Structures - Artificial hard structures with Integrated Greening of Grey Infrastructure (IGGI)	Intertidal Hard Structures
Intertidal sediment - Artificial littoral biogenic reefs	Intertidal sediment
Intertidal sediment - Artificial littoral coarse sediment	Intertidal sediment
Intertidal sediment - Artificial littoral mixed sediments	Intertidal sediment
Intertidal sediment - Artificial littoral mud	Intertidal sediment
Intertidal sediment - Artificial littoral muddy sand	Intertidal sediment
Intertidal sediment - Artificial littoral sand	Intertidal sediment
Intertidal sediment - Artificial littoral seagrass	Intertidal sediment
Intertidal sediment - Littoral coarse sediment	Intertidal sediment
Intertidal sediment - Littoral sand	Intertidal sediment
Intertidal sediment - Features of littoral sediment	Intertidal sediment
Intertidal sediment - Littoral biogenic reefs - Mussels	Intertidal sediment
Intertidal sediment - Littoral biogenic reefs - Sabellaria	Intertidal sediment
Intertidal sediment - Littoral mixed sediments	Intertidal sediment
Intertidal sediment - Littoral mud	Intertidal sediment
Intertidal sediment - Littoral muddy sand	Intertidal sediment
Intertidal sediment - Littoral seagrass	Intertidal sediment
Intertidal sediment - Littoral seagrass on peat, clay or chalk	Intertidal sediment
Lakes - Ornamental lake or pond	Urban
Lakes - Ponds (Non- Priority Habitat)	Lakes
Lakes - Reservoirs	Lakes
Lakes - High alkalinity lakes	Lakes
Lakes - Low alkalinity lakes	Lakes
Lakes - Marl Lakes	Lakes
Lakes - Moderate alkalinity lakes	Lakes
Lakes - Peat Lakes	Lakes
Lakes - Ponds (Priority Habitat)	Lakes
Lakes - Temporary lakes, ponds and pools	Lakes
Lakes - Aquifer fed naturally fluctuating water bodies	Lakes
Rocky shore - Features of littoral rock	Rocky shore
Rocky shore - High energy littoral rock	Rocky shore
Rocky shore - Low energy littoral rock	Rocky shore
Rocky shore - Moderate energy littoral rock	Rocky shore
Rocky shore - Features of littoral rock - on peat, clay or chalk	Rocky shore
Rocky shore - High energy littoral rock - on peat, clay or chalk	Rocky shore
Rocky shore - Low energy littoral rock - on peat, clay or chalk	Rocky shore
Rocky shore - Moderate energy littoral rock - on peat, clay or chalk	Rocky shore
Sparsely vegetated land - Ruderal/Ephemeral	Sparsely vegetated land
Sparsely vegetated land - Other inland rock and scree	Sparsely vegetated land
Sparsely vegetated land - Coastal sand dunes	Sparsely vegetated land
Sparsely vegetated land - Coastal vegetated shingle	Sparsely vegetated land
Sparsely vegetated land - Inland rock outcrop and scree habitats	Sparsely vegetated land
Sparsely vegetated land - Maritime cliff and slopes	Sparsely vegetated land
Sparsely vegetated land - Calaminarian grasslands	Sparsely vegetated land
Sparsely vegetated land - Limestone pavement	Sparsely vegetated land
Urban - Allotments	Urban
Urban - Bioswale	Urban
Urban - Extensive green roof	Urban
Urban - Facade-bound green wall	Urban
Urban - Ground based green wall	Urban
Urban - Ground level planters	Urban
Urban - Introduced shrub	Urban
Urban - Rain garden	Urban
Urban - Sand pit quarry or open cast mine	Urban
Urban - Sustainable urban drainage feature	Urban
Urban - Vacant/derelict land/ bareground	Urban
Urban - Vegetated garden	Urban
Urban - Artificial unvegetated, unsealed surface	Urban
Urban - Built linear features	Urban
Urban - Developed land; sealed surface	Urban
Urban - Un-vegetated garden	Urban
Urban - Brown roof	Urban
Urban - Cemeteries and churchyards	Urban
Urban - Intensive green roof	Urban
Urban - Urban Tree	Urban
Urban - Open Mosaic Habitats on Previously Developed Land	Urban
Wetland - Reedbeds	Wetland
Wetland - Blanket bog	Wetland
Wetland - Depressions on Peat substrates (H7150)	Wetland
Wetland - Fens (upland and lowland)	Wetland
Wetland - Lowland raised bog	Wetland
Wetland - Oceanic Valley Mire[1] (D2.1)	Wetland
Wetland - Purple moor grass and rush pastures	Wetland
Wetland - Transition mires and quaking bogs (H7140)	Wetland
Woodland and forest - Other coniferous woodland	Woodland and forest
Woodland and forest - Other Scot's Pine woodland	Woodland and forest
Woodland and forest - Other woodland; broadleaved	Woodland and forest
Woodland and forest - Other woodland; mixed	Woodland and forest
Woodland and forest - Felled	Woodland and forest
Woodland and forest - Lowland beech and yew woodland	Woodland and forest
Woodland and forest - Lowland mixed deciduous woodland	Woodland and forest
Woodland and forest - Native pine woodlands	Woodland and forest
Woodland and forest - Upland birchwoods	Woodland and forest
Woodland and forest - Upland mixed ashwoods	Woodland and forest
Woodland and forest - Upland oakwood	Woodland and forest
Woodland and forest - Wet woodland	Woodland and forest
Woodland and forest - Wood-pasture and parkland	Woodland and forest